"movie_genre","number_of_movies","genre_average_rating"
"History","415","7.3"
"Animation","1434","7.2"
"Adventure","1563","7.1"
"News","23","7.1"
"Talk-Show","55","7.1"
"Game-Show","86","7.0"
"Documentary","1349","7.0"
"Biography","390","7.0"
"Film-Noir","12","7.0"
"War","73","6.9"
"Music","236","6.9"
"Fantasy","555","6.9"
"Drama","4194","6.9"
"Mystery","768","6.9"
"Reality-TV","456","6.9"
"Action","1969","6.9"
"Crime","1491","6.9"
"Sport","188","6.8"
"Comedy","3098","6.7"
"Family","493","6.7"
"Musical","84","6.7"
"Romance","1007","6.7"
"Short","351","6.6"
"Western","34","6.5"
"Sci-Fi","293","6.3"
"Thriller","889","6.1"
"Horror","530","5.8"
